flight_id,received_at,rssi,SYS,SRC,SEQ,St,ALT,Max,G,Pg,T,Batt,MET,Vel,Gmx,Gmn,Wmx,Gyx,Gyy,Gyz,Mgx,Mgy,Mgz
2026-08-25-F1,2026-08-25T21:04:05.734Z,-81,7,1,459,2,706,772,1.4,10.4,29.7,4.14,11,-24.3,1.6,1.4,127.3,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.836Z,-82,7,1,460,2,705,772,1.4,10.4,29.7,4.14,11,-22.4,1.5,1.4,162.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:05.939Z,-85,7,1,461,2,702,772,1.4,10.4,29.7,4.14,11,-23.6,1.4,1.3,178.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.022Z,-87,7,1,462,2,700,772,1.5,10.4,29.7,4.15,11,-24.0,1.5,1.3,170.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.124Z,-87,7,1,463,2,697,772,1.5,10.4,29.7,4.14,11,-24.8,1.5,1.4,128.2,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.227Z,-86,7,1,464,2,694,772,1.7,10.4,29.7,4.14,11,-26.7,1.7,1.5,83.6,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.329Z,-86,7,1,465,2,691,772,1.4,10.4,29.7,4.14,12,-27.0,1.4,1.3,82.7,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.432Z,-88,7,1,466,2,688,772,1.6,10.4,29.7,4.14,12,-27.9,1.6,1.4,90.4,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.534Z,-92,7,1,467,2,686,772,1.5,10.4,29.7,4.14,12,-27.2,1.5,1.5,128.5,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.637Z,-91,7,1,468,2,683,772,1.9,10.4,29.7,4.14,12,-25.6,1.9,1.7,132.9,,,,,,
2026-08-25-F1,2026-08-25T21:04:06.739Z,-87,7,1,469,2,681,772,1.9,10.4,29.7,4.14,12,-25.5,2.1,1.9,132.8,,,,,,
